,Selumetinib,Afatinib,Bortezomib,Lapatinib,Sunitinib,Olaparib,Nutlin-3,MK-2206,KU-55933,Everolimus,Celecoxib,Ruxolitinib,SB5225334,SGI-1776,OSI-420,TPCA-1,LY2874455,SF1670,K-ras(G12C) Inhibitor 9,WIKI4,Disulfuram,Gemcitabine,Paclitaxel,SN-38,5-FU,Oxaliplatin
hF2,0.728,0.772,0.25,0.75,0.74,0.716,0.8,0.756,0.812,0.83,0.874,0.86,0.786,0.788,0.806,0.784,0.654,0.734,0.824,0.698,0.538,0.554357724008645,0.712962208887096,0.499950071545098,0.782922474909435,0.887245681544089
hF23,0.692,0.548,0.232,0.762,0.814,0.856,0.928,0.752,0.876,0.728,0.928,0.848,0.748,0.844,0.7,0.764,0.63,0.776,0.85,0.838,0.516,0.523994611794011,0.486710915662748,0.547860062472992,0.781999288152443,0.820843360192987
hF24,0.758,0.632,0.238,0.862,0.916,0.854,0.91,0.78,0.842,0.636,0.846,0.9,0.838,0.862,0.798,0.838,0.678,0.854,0.83,0.858,0.578,0.609942415034081,0.742389475755138,0.549167304580845,0.671272069100466,0.809528235109105
hF27,0.816,0.828,0.274,0.816,0.78,0.854,0.872,0.798,0.786,0.764,0.798,0.862,0.828,0.854,0.794,0.74,0.722,0.696,0.818,0.798,0.572,0.677161905493563,0.636765656709348,0.567864966394762,0.838668541229544,0.852603292489015
hF28,0.7,0.668,0.236,0.842,0.844,0.838,0.856,0.768,0.866,0.75,0.89,0.886,0.668,0.794,0.838,0.824,0.57,0.766,0.826,0.818,0.47,0.685010432986769,0.662779111463729,0.6514418789944,0.861745214628544,0.829213224741049
hF3,0.74,0.586,0.25,0.766,0.82,0.89,0.844,0.812,0.868,0.806,0.918,0.89,0.9,0.892,0.796,0.858,0.678,0.852,0.848,0.766,0.558,0.619786040802038,0.544051970514452,0.56354332582754,0.718958751213137,0.946592140165441
hF31,0.822,0.606,0.262,0.818,0.808,0.908,0.838,0.808,0.84,0.712,0.878,0.9,0.812,0.872,0.796,0.814,0.644,0.84,0.788,0.796,0.51,0.619360018581861,0.560774590057002,0.54106355589358,0.760285557343075,0.8443832542729
hF32,0.774,0.666,0.342,0.806,0.832,0.912,0.774,0.79,0.802,0.74,0.88,0.838,0.83,0.836,0.798,0.802,0.64,0.77,0.808,0.74,0.546,0.549507398993009,0.577008210386458,0.616808758845471,0.910581976299166,0.915300871349735
hF39,0.876,0.698,0.304,0.9,0.876,0.87,0.894,0.792,0.874,0.81,0.886,0.77,0.792,0.88,0.892,0.878,0.686,0.814,0.936,0.858,0.562,0.755856286781935,0.699247542006404,0.723406628241216,0.806900475310391,0.817747496580821
hF43,0.774,0.81,0.278,0.876,0.798,0.93,0.858,0.714,0.852,0.634,0.862,0.908,0.746,0.786,0.864,0.894,0.676,0.754,0.848,0.878,0.53,0.614382559598918,0.618258803342222,0.544373638758924,0.833603591019984,0.93996422690651
hF44,0.724,0.77,0.24,0.804,0.79,0.83,0.85,0.726,0.858,0.614,0.784,0.856,0.808,0.78,0.804,0.87,0.682,0.782,0.79,0.816,0.544,0.60813778976359,0.560653029608852,0.558798582631423,0.717838460721136,0.878978347450669
hF45,0.814,0.698,0.256,0.742,0.8,0.816,0.856,0.764,0.872,0.864,0.86,0.82,0.842,0.77,0.828,0.812,0.698,0.794,0.792,0.846,0.554,0.653678664527895,0.680983993868605,0.715255347045912,0.855192632570545,0.918397501346954
hF50,0.906,0.668,0.304,0.648,0.736,0.802,0.716,0.698,0.658,0.696,0.898,0.834,0.722,0.73,0.842,0.768,0.76,0.74,0.79,0.758,0.566,0.637842645778803,0.641314766241521,0.581826164251756,0.722544390281779,0.814588640424075
hF54,0.576,0.55,0.266,0.776,0.828,0.858,0.894,0.89,0.918,0.796,0.908,0.896,0.808,0.842,0.764,0.822,0.684,0.796,0.908,0.902,0.498,0.586568591300181,0.591237063796605,0.565170462878391,0.728000279388856,0.852202716728058
hF57,0.712,0.642,0.264,0.744,0.712,0.794,0.826,0.774,0.81,0.816,0.896,0.782,0.734,0.85,0.676,0.778,0.638,0.826,0.682,0.816,0.674,0.682922286987648,0.583587209553382,0.59684734730444,0.745209436554096,0.859122952453551
hF68,0.81,0.776,0.274,0.788,0.858,0.808,0.858,0.696,0.804,0.79,0.788,0.802,0.75,0.796,0.71,0.798,0.772,0.816,0.872,0.746,0.536,0.600542882205215,0.665978705825011,0.621696224488683,0.760692646586759,0.808104044804886
hF70,0.802,0.844,0.274,0.796,0.804,0.866,0.88,0.792,0.83,0.724,0.746,0.888,0.768,0.798,0.826,0.882,0.764,0.798,0.832,0.882,0.564,0.917493159390797,0.759484747421569,0.880285883398784,0.971617317601717,0.981540116578909
hF71,0.856,0.768,0.298,0.776,0.888,0.89,0.85,0.878,0.878,0.81,0.85,0.87,0.8,0.846,0.83,0.91,0.8,0.8,0.83,0.88,0.57,0.575273550555673,0.669057572411264,0.502899547108073,0.750263795128756,0.668467826907879
hF72,0.826,0.782,0.238,0.792,0.852,0.756,0.892,0.794,0.762,0.838,0.83,0.762,0.84,0.758,0.66,0.846,0.65,0.8,0.848,0.916,0.56,0.619077001559516,0.55849109567577,0.549609920014186,0.851776518589764,0.802985573589569
hF74,0.786,0.696,0.236,0.882,0.838,0.876,0.71,0.87,0.828,0.832,0.906,0.844,0.81,0.87,0.74,0.886,0.69,0.826,0.83,0.904,0.554,0.685409693985844,0.599901811543062,0.588698991881925,0.781664030929756,0.796187253723581
hF77,0.786,0.722,0.264,0.856,0.858,0.834,0.816,0.796,0.826,0.894,0.84,0.9,0.666,0.768,0.824,0.84,0.662,0.894,0.816,0.746,0.534,0.743855213716024,0.596950841196933,0.658731003789186,0.764027596860033,0.893166958684133
hF78,0.856,0.68,0.276,0.822,0.904,0.922,0.92,0.868,0.87,0.806,0.832,0.89,0.82,0.886,0.82,0.928,0.738,0.86,0.864,0.91,0.56,0.732814316174634,0.687160690107975,0.680146801543918,0.858538330234341,0.820802323810886
hF81,0.55,0.662,0.246,0.704,0.76,0.758,0.814,0.644,0.82,0.866,0.866,0.79,0.732,0.726,0.69,0.812,0.652,0.776,0.686,0.646,0.434,0.782606835094292,0.63377813923944,0.609675287397909,0.898189385852502,
