,model,drug_response,genes,mse,mse_std,mse_stderror,pearson,pearson_std,pearson_stderror,pval_mean
0,baseline_nn,IC50,PaccMann genes,7.06094719302685,0.35653162470408684,0.1594457897933563,0.024875700712650002,0.027066958506747386,0.01210471183305067,0.5194272618372867
1,baseline_nn,IC50,no RNAseq,3.274660837713782,0.13300852565433732,0.059483220990024586,,,,
2,baseline_nn,IC50_zscore,PaccMann genes,1.324197339644241,0.09144444645519817,0.04089519968773255,0.016811383948672026,0.03003459497641325,0.013431879208786744,0.4986174526277649
3,baseline_nn,IC50_zscore,no RNAseq,1.1167973402260323,0.05744850588158119,0.025691752871402403,,,,
4,deepCDR,IC50,DeepCDR genes,2.064162634791249,0.08723359757910024,0.039012050821745844,0.29967536189994326,0.03475154611296684,0.015541363886362486,0.10039384868889342
5,deepCDR,IC50,no RNAseq,2.1563029105723506,0.14548022282295495,0.06506073352278872,,,,
6,deepCDR,IC50_zscore,DeepCDR genes,0.9505675723060923,0.03062857939459617,0.013697517116113278,0.31994370413349793,0.018532680231612277,0.00828806656063032,0.08794698832974866
7,deepCDR,IC50_zscore,no RNAseq,1.022442757241853,0.05593146152779346,0.02501331001141208,,,,
8,knn,IC50,PaccMann genes,3.7328946098110896,0.013347200401341436,0.005969049481342385,0.028888444617405383,0.010570641796056938,0.004727334724356756,0.4975570455015858
9,knn,IC50,no RNAseq,3.7235311416110286,0.19166060658062986,0.08571322898462637,,,,
10,knn,IC50_zscore,PaccMann genes,1.974447808354304,0.014254420051922534,0.006374770443186973,0.02893686141132652,0.01017689630040343,0.004551246385533638,0.49731052565766953
11,knn,IC50_zscore,no RNAseq,1.9258895931495605,0.06446609177946395,0.028830112692524355,,,,
12,lin_reg_feat_sel,IC50,PaccMann genes,2.2795053985351883,0.04526469515566043,0.020242987069772428,0.30529636340873506,0.013642537683216029,0.006101128329054706,0.03830240963164875
13,lin_reg_feat_sel,IC50,genes selected per drug,1.4680957765395604,0.02368647491826291,0.010592913612915927,0.4617715680610196,0.012128869758585166,0.005424195454087579,0.00034569098443079286
14,lin_reg_feat_sel,IC50_zscore,PaccMann genes,1.239272766037377,0.02714942430579698,0.012141591659549417,0.3053539628235812,0.013635548747062399,0.006098002781788721,0.03804951641297533
15,lin_reg_feat_sel,IC50_zscore,genes selected per drug,0.7955272944219807,0.00922371227286789,0.004124969529406338,0.46178939947466685,0.012102127913308822,0.005412236137311241,0.00034568003653436284
16,mean_baseline,IC50,no RNAseq,1.8974169955663958,0.02224578680893183,0.00994861830354794,,,,
17,mean_baseline,IC50_zscore,no RNAseq,1.001235859885432,0.01728329881284298,0.0077293262041916635,,,,
18,paccmann,IC50,PaccMann genes,3.753184464591034,0.17180909473159325,0.0768353629945087,0.02073408682774749,0.036213672117269065,0.016195246513820472,0.46997682790226347
19,paccmann,IC50,no RNAseq,2.972654964114711,0.1253838513817267,0.05607336299405436,,,,
20,paccmann,IC50_zscore,PaccMann genes,1.2808452841384055,0.12429551070852922,0.05558664224846487,-0.007829496999878024,0.028473822059777176,0.012733880340978969,0.4858855642530696
21,paccmann,IC50_zscore,no RNAseq,1.1365827515896691,0.06296037221599893,0.028156734432732533,,,,
22,paccmann_ndcg,IC50_max_conc,PaccMann genes,39.39093493643388,7.85703747916022,3.5137739810331676,-0.00034058854696048766,0.00636884292362988,0.0028482331430509824,0.5103502503881343
23,paccmann_ndcg,IC50_max_conc,no RNAseq,616.8610217376903,146.51521710208002,65.52359703567812,,,,
24,paccmann_ndcg,IC50_zscore,PaccMann genes,42.24129369973137,10.78969065401578,4.825296351714689,-0.004939338198003412,0.009387455571650884,0.004198197758794105,0.5186212814201177
25,paccmann_ndcg,IC50_zscore,no RNAseq,58.120282711171775,24.99008564188764,11.175906051760444,,,,
