,model,drug_response,genes,k,prec,prec_std,prec_stderror,ndcg,ndcg_std,ndcg_stderror
0,baseline_nn,IC50,no RNAseq,1,0.3006217277486911,0.03516565958302747,0.015726561060253264,0.9153130663619242,0.007420391802885456,0.00331850009818682
1,baseline_nn,IC50,no RNAseq,3,0.3959605875509017,0.015092148308756301,0.006749413908977515,0.9487066510716889,0.0021660170649396545,0.0009686722795259287
2,baseline_nn,IC50,no RNAseq,5,0.4838678010471204,0.03162838471913696,0.014144643650101167,0.9498806427063524,0.00208379522007048,0.0009319015526533453
3,baseline_nn,IC50,no RNAseq,10,0.5999296465968587,0.045221332755874845,0.02022359481505481,0.9453319510182231,0.006242328207513498,0.002791654041972919
4,baseline_nn,IC50,no RNAseq,15,0.6994844386271087,0.01750681485108669,0.007829285615306538,0.9420728459618075,0.003665291621902868,0.0016391682447870538
5,baseline_nn,IC50,no RNAseq,30,0.76608784176847,0.017240952515206274,0.007710388364169441,0.929968538087327,0.0021819717386514694,0.0009758074265216181
6,baseline_nn,IC50,paccmann genes,1,0.11369982547993018,0.036755880748973305,0.016437729585516037,0.6374754585143249,0.022482990384138115,0.010054698967281386
7,baseline_nn,IC50,paccmann genes,3,0.23136089296102386,0.021405229367195352,0.009572709587804722,0.6782960313400327,0.021419041051182912,0.009578886360660708
8,baseline_nn,IC50,paccmann genes,5,0.342598167539267,0.029263084277690494,0.013086849135244254,0.7024840406048978,0.0275403143390204,0.01231640299675236
9,baseline_nn,IC50,paccmann genes,10,0.4954041230366492,0.02113786005863446,0.009453138397996868,0.7281971146597701,0.03478601791314293,0.015556780144062593
10,baseline_nn,IC50,paccmann genes,15,0.5683366055846422,0.01895844345816304,0.00847847366400775,0.7430421829395794,0.0392509184525787,0.017553544367853363
11,baseline_nn,IC50,paccmann genes,30,0.6218253708551483,0.02181927985020645,0.00975787859303061,0.7628784002098307,0.04369611133107266,0.019541495057735454
12,baseline_nn,IC50_zscore,no RNAseq,1,0.004177574171029669,0.005116491607127867,0.0022881646079690116,-0.06431710828634027,0.0855456914327579,0.03825719624517361
13,baseline_nn,IC50_zscore,no RNAseq,3,0.015308682373472948,0.007653638198331394,0.0034228110573316026,-0.10075239449115436,0.05740263727105296,0.025671239805167487
14,baseline_nn,IC50_zscore,no RNAseq,5,0.03236365619546248,0.00827786193851248,0.003701972400574418,-0.10596667294845814,0.04227930814139423,0.01890788140916356
15,baseline_nn,IC50_zscore,no RNAseq,10,0.06691099476439791,0.009294205454855129,0.004156495038781084,-0.12958501118418483,0.04346313715798137,0.01943730584012867
16,baseline_nn,IC50_zscore,no RNAseq,15,0.09331260907504361,0.00741203955052902,0.003314764857379975,-0.18186307987192843,0.07814947355055568,0.03494950705297287
17,baseline_nn,IC50_zscore,no RNAseq,30,0.15758780541012216,0.010924238308944399,0.004885467892241405,-0.16814636968425914,0.16610707122716067,0.07428534056146613
18,baseline_nn,IC50_zscore,paccmann genes,1,0.007302574171029667,0.002542665371671618,0.0011371145230185012,-0.08048136806745862,0.034586226549353595,0.015467430729912524
19,baseline_nn,IC50_zscore,paccmann genes,3,0.018108275159976726,0.007708926669611681,0.003447536813362556,-0.08524182736477638,0.02442512340826985,0.010923247259942545
20,baseline_nn,IC50_zscore,paccmann genes,5,0.026734293193717278,0.0076841003231057844,0.003436434133678526,-0.09426671667176983,0.02020794739034528,0.009037268810110305
21,baseline_nn,IC50_zscore,paccmann genes,10,0.04739474258289703,0.011188759008567166,0.005003765145403866,-0.11595318988225098,0.023114001130099905,0.010336895551782068
22,baseline_nn,IC50_zscore,paccmann genes,15,0.06736910994764397,0.01231204826229993,0.005506115371352161,-0.15910742662242658,0.039573101035907124,0.017697628799351134
23,baseline_nn,IC50_zscore,paccmann genes,30,0.12891633944153577,0.01620611401038367,0.007247594515665924,-0.15331752658512293,0.12056275312240237,0.05391730230724334
24,knn,IC50,no RNAseq,1,0.17641252181500872,0.032469625267439794,0.014520857860388033,0.9023899803351055,0.0106515042682614,0.004763497521292329
25,knn,IC50,no RNAseq,3,0.3494219022687609,0.06327849105512173,0.028299001502572915,0.8819276095427995,0.05958544887336116,0.02664742283013476
26,knn,IC50,no RNAseq,5,0.42332242582897034,0.06922630542700195,0.03095894495318779,0.868377714956923,0.027714433794725893,0.012394271584584908
27,knn,IC50,no RNAseq,10,0.5459784031413613,0.04156505262385659,0.018588456631059864,0.8452684555507176,0.018532365236073937,0.008287925690343052
28,knn,IC50,no RNAseq,15,0.6165128708551484,0.029595465175134356,0.013235494391465628,0.8375606693469086,0.027733214108255605,0.012402670396123147
29,knn,IC50,no RNAseq,30,0.6611274723676557,0.018957896903322006,0.008478229237252152,0.8458204737324531,0.016074671075799237,0.007188811448287353
30,knn,IC50,paccmann genes,1,0.15549192844677137,0.028074613147449204,0.01255534868794115,0.8717798353884622,0.008553279602849491,0.003825142924506773
31,knn,IC50,paccmann genes,3,0.31628308609656774,0.013433733523828182,0.0060077482701795205,0.9029585935662755,0.0064537620947479266,0.0028862101508935604
32,knn,IC50,paccmann genes,5,0.4056479057591623,0.014395820208966806,0.006438006515823001,0.8966610839205741,0.003211436529984042,0.0014361980772940718
33,knn,IC50,paccmann genes,10,0.5449072862129145,0.012022828115205482,0.0053767721894790255,0.8826914831181221,0.004021933488611311,0.0017986633363035536
34,knn,IC50,paccmann genes,15,0.6169208115183246,0.008213663374271324,0.003673261929834195,0.8771954005634376,0.005030094364525171,0.002249526586463378
35,knn,IC50,paccmann genes,30,0.6776717931937173,0.007626867148540077,0.0034108386798991194,0.8675441744424528,0.005765254821421511,0.0025783003376613814
36,knn,IC50_zscore,no RNAseq,1,0.007302574171029669,0.007799521567747817,0.00348805208349197,-0.07749787307149564,0.036265622752835715,0.01621847954434074
37,knn,IC50_zscore,no RNAseq,3,0.014961460151250727,0.005994476135077804,0.0026808112255068363,-0.09839562473359625,0.023369484101758473,0.010451151010126511
38,knn,IC50_zscore,no RNAseq,5,0.027972294938917973,0.0032983975778041836,0.0014750882401581612,-0.10375662244096936,0.022443636957895304,0.010037099580036096
39,knn,IC50_zscore,no RNAseq,10,0.0521940445026178,0.00375464344279234,0.0016791275938715028,-0.14094972724346508,0.03113516705424676,0.013924070004821527
40,knn,IC50_zscore,no RNAseq,15,0.07139797847585806,0.00435718258919553,0.0019485912919639493,-0.19004201221958256,0.057914379370275784,0.025900097829329623
41,knn,IC50_zscore,no RNAseq,30,0.1324638234438627,0.0022511579895320446,0.0010067484585370822,-0.15085005183451508,0.10942219999680193,0.04893509548808528
42,knn,IC50_zscore,paccmann genes,1,0.008355148342059337,0.008494813837271908,0.0037989962392691646,-0.05915739219064823,0.0235463851112763,0.01053026354664055
43,knn,IC50_zscore,paccmann genes,3,0.02192771960442117,0.007757566243012675,0.0034692890918667984,-0.07087849083324341,0.024229835264528442,0.010835911747021438
44,knn,IC50_zscore,paccmann genes,5,0.03005999127399651,0.009058086020025603,0.0040508992173635535,-0.08224550034826653,0.02324022630604132,0.010393345166557445
45,knn,IC50_zscore,paccmann genes,10,0.05145887870855148,0.008883117190784667,0.003972650778138296,-0.10610394384925606,0.02604782291785126,0.011648940542038466
