,model,drug_response,genes,mse,mse_std,mse_stderror,pearson,pearson_std,pearson_stderror,pval_mean,mode
0,baseline_nn,AUC,no RNAseq,0.25649887327508447,0.0,0.0,0.6560205056340944,0.0,0.0,0.016154656900219968,gdsc_pan
1,baseline_nn,AUC,no RNAseq,0.10611849335098691,0.016939172989034468,0.005356636832495132,0.9459864904654196,0.016260913116451118,0.005142152228209235,4.607941643710408e-06,solo_pan
2,baseline_nn,AUC,paccmann genes,0.4067555651915443,0.0,0.0,0.279847905543784,0.0,0.0,0.37801096424056996,gdsc_pan
3,baseline_nn,AUC,paccmann genes,0.1663109563310828,0.06381436206380414,0.020179873155226433,0.8772620439343776,0.032938178526654475,0.010415966612147727,0.00028929918940987767,solo_pan
4,baseline_nn,AUC_zscore,no RNAseq,0.9890064507513749,0.0,0.0,-0.004487751394288843,0.0,0.0,0.5222405723546243,gdsc_pan
5,baseline_nn,AUC_zscore,no RNAseq,0.9963780576414163,0.28779465144694266,0.0910086596986612,-0.4016333456759211,0.1365575563272807,0.04318329097009448,0.22024323684354732,solo_pan
6,baseline_nn,AUC_zscore,paccmann genes,1.8564847056800649,0.0,0.0,-0.05131746663311358,0.0,0.0,0.47890652660593563,gdsc_pan
7,baseline_nn,AUC_zscore,paccmann genes,0.9838709816638422,0.2958787407050045,0.0935650731850188,-0.06309068183886178,0.19817504307446315,0.0626684511517281,0.39328969513567424,solo_pan
8,knn,AUC,no RNAseq,0.04663101016824798,0.0,0.0,0.6164764332646517,0.0,0.0,0.025563714445840033,gdsc_pan
9,knn,AUC,no RNAseq,0.008002397165106407,0.0023002448035546346,0.0007274012755199223,0.898956636997003,0.019996193397359092,0.0063233515668875105,7.273959517242164e-05,solo_pan
10,knn,AUC,paccmann genes,0.05439899931772408,0.0,0.0,0.3722279176880131,0.0,0.0,0.32074037546365286,gdsc_pan
11,knn,AUC,paccmann genes,0.007231825897087934,0.0011178408651021253,0.0003534923195335746,0.9081748696777752,0.017828281970366858,0.005637797779407381,0.0001310432070888247,solo_pan
12,knn,AUC_zscore,no RNAseq,1.6621218525248853,0.0,0.0,0.004965155298888151,0.0,0.0,0.46735985006621067,gdsc_pan
13,knn,AUC_zscore,no RNAseq,1.9208972780611906,0.571607637725999,0.18075820631625467,-0.018447582608224246,0.1457022729829629,0.04607510428897783,0.49401379795929634,solo_pan
14,knn,AUC_zscore,paccmann genes,1.674492759405618,0.0,0.0,0.008327329572778678,0.0,0.0,0.44096907920081935,gdsc_pan
15,knn,AUC_zscore,paccmann genes,1.7771393228062693,0.27716297428652037,0.08764662818120862,0.04049244137207598,0.16743895759580343,0.052948847504708976,0.4266176360603664,solo_pan
16,lin_reg_feat_sel,AUC,genes selected per drug,0.0005446978094262361,0.00013792286570176357,4.361503970350905e-05,0.9899984057099388,0.0027138577131259316,0.0008581971619093779,1.3650744168811824e-18,solo_pan
17,lin_reg_feat_sel,AUC_zscore,genes selected per drug,0.149981478651597,0.030423721028108246,0.009620825334638166,0.9073926392636826,0.018414516577937915,0.005823181439721334,1.2225196915052368e-07,solo_pan
18,mean_baseline,AUC,no RNAseq,0.004413872014433452,0.0012768750576106517,0.0004037833469508376,0.9246656815653207,0.013152435129504845,0.0041591651786846975,3.6534638750684483e-09,solo_pan
19,mean_baseline,AUC_zscore,no RNAseq,1.0420070053937862,0.308393370491164,0.09752254660482382,-0.1168828668403011,0.11499761539519224,0.03636543901368517,0.33689452121422236,solo_pan
20,paccmann,AUC,no RNAseq,0.272517174860817,0.0,0.0,0.6480419763622497,0.0,0.0,0.019332664007381966,gdsc_pan
21,paccmann,AUC,no RNAseq,0.1377531461489835,0.033364940526400544,0.010550920605948304,0.9394829746875475,0.019096874005609162,0.006038961804698808,1.141116168525497e-05,solo_pan
22,paccmann,AUC,paccmann genes,0.2653768915923246,0.0,0.0,0.63432948445199,0.0,0.0,0.021557503494986353,gdsc_pan
23,paccmann,AUC,paccmann genes,0.13174008252327246,0.025013381744553434,0.007909925829606488,0.944068231162289,0.01677538985390757,0.005304844057562721,8.700890119697733e-06,solo_pan
24,paccmann,AUC_zscore,no RNAseq,1.1145760258367334,0.0,0.0,0.004370930240229628,0.0,0.0,0.5801660549935905,gdsc_pan
25,paccmann,AUC_zscore,no RNAseq,1.0086818217424909,0.29930519743292777,0.09464861394144336,-0.41598780274075065,0.11697635828055035,0.03699117245584368,0.23121507618719614,solo_pan
26,paccmann,AUC_zscore,paccmann genes,9.318406706554935,0.0,0.0,-0.020783973701241465,0.0,0.0,0.5766380928457268,gdsc_pan
27,paccmann,AUC_zscore,paccmann genes,2.5468553795922557,2.7207469953454924,0.8603757442351292,-0.15914540567560903,0.18648637512671504,0.058972169798899104,0.46047026763469734,solo_pan
28,paccmann_ndcg,AUC,no RNAseq,507.968551579409,0.0,0.0,0.5105817763246268,0.0,0.0,0.07394167787350067,gdsc_pan
29,paccmann_ndcg,AUC,no RNAseq,1738.65703207482,309.82019105791176,97.97374688515333,0.774975993211292,0.047131193010931,0.014904191875555115,0.002503505202405754,solo_pan
